Plant ID Tag,Species,Provenance
SPIALB_HF_10,Spiraea alba,
SPIALB_HF_2,Spiraea alba,
SPIALB_HF_3,Spiraea alba,
SPIALB_HF_4AA,Spiraea alba,
SPIALB_HF_4AB,Spiraea alba,
SPIALB_HF_4BA,Spiraea alba,
SPIALB_HF_8,Spiraea alba,
SPIALB_SH_1,Spiraea alba,
SPIALB_SH_4AC,Spiraea alba,
SPIALB_SH_4BB,Spiraea alba,
SPIALB_SH_7,Spiraea alba,
SPIALB_SH_7A,Spiraea alba,
SPIALB_SH_7B,Spiraea alba,
SPIALB_SH_8,Spiraea alba,
SPIALB_SH_9A,Spiraea alba,
SPIALB_SH_9B,Spiraea alba,
SPIALB_WM_2A,Spiraea alba,
SPIALB_WM_2AB,Spiraea alba,
SPIALB_WM_2B,Spiraea alba,
SPIALB_WM_2BA,Spiraea alba,
SPIALB_WM_4A,Spiraea alba,
SPIALB_WM_4B,Spiraea alba,
SPIALB_WM_4C,Spiraea alba,
SPIALB_WM_5,Spiraea alba,
SPIALB_WM_7AA,Spiraea alba,
SPIALB_WM_7AB,Spiraea alba,
SPIALB_WM_7BA,Spiraea alba,
SPIALB_WM_7BB,Spiraea alba,
SPITOM_GR_1,Spiraea tomentosa,
SPITOM_GR_1A,Spiraea tomentosa,
SPITOM_GR_1AB,Spiraea tomentosa,
SPITOM_GR_1B,Spiraea tomentosa,
SPITOM_GR_2B,Spiraea tomentosa,
SPITOM_GR_2C,Spiraea tomentosa,
SPITOM_GR_2D,Spiraea tomentosa,
SPITOM_HF_13,Spiraea tomentosa,
SPITOM_HF_4,Spiraea tomentosa,
SPITOM_HF_5,Spiraea tomentosa,
SPITOM_HF_6,Spiraea tomentosa,
SPITOM_HF_6A,Spiraea tomentosa,
SPITOM_HF_6B,Spiraea tomentosa,
SPITOM_HF_9A,Spiraea tomentosa,
SPITOM_HF_9B,Spiraea tomentosa,
SPITOM_HF_9,Spiraea tomentosa,
SPITOM_SH_99,Spiraea tomentosa,
SPITOM_SH_99A,Spiraea tomentosa,
SPITOM_SH_99B,Spiraea tomentosa,
SPITOM_SH_99C,Spiraea tomentosa,
SPITOM_SH_99D,Spiraea tomentosa,
SPITOM_SH_99E,Spiraea tomentosa,
SPITOM_SH_99F,Spiraea tomentosa,
SPITOM_WM_4A,Spiraea tomentosa,
SPITOM_WM_4B,Spiraea tomentosa,
SPITOM_WM_5,Spiraea tomentosa,
SPITOM_WM_5A,Spiraea tomentosa,
SPITOM_WM_5B,Spiraea tomentosa,
SPITOM_WM_5C,Spiraea tomentosa,
SPITOM_WM_5D,Spiraea tomentosa,
SPITOM_WM_5E,Spiraea tomentosa,
VIBCAS_GR_10A,Viburnum cassinoides,
VIBCAS_GR_10B,Viburnum cassinoides,
VIBCAS_GR_12AA,Viburnum cassinoides,
VIBCAS_GR_12AB,Viburnum cassinoides,
VIBCAS_GR_12BA,Viburnum cassinoides,
VIBCAS_GR_12BB,Viburnum cassinoides,
VIBCAS_GR_3,Viburnum cassinoides,
VIBCAS_GR_5,Viburnum cassinoides,
VIBCAS_GR_9,Viburnum cassinoides,
VIBCAS_HF_7A,Viburnum cassinoides,
VIBCAS_SH_1,Viburnum cassinoides,
VIBCAS_SH_1A,Viburnum cassinoides,
VIBCAS_SH_1B,Viburnum cassinoides,
VIBCAS_SH_5,Viburnum cassinoides,
VIBCAS_SH_5A,Viburnum cassinoides,
VIBCAS_SH_5B,Viburnum cassinoides,
VIBCAS_SH_5C,Viburnum cassinoides,
VIBCAS_SH_9,Viburnum cassinoides,
VIBCAS_WM_10,Viburnum cassinoides,
VIBCAS_WM_4,Viburnum cassinoides,
VIBCAS_WM_4A,Viburnum cassinoides,
VIBCAS_WM_4B,Viburnum cassinoides,
VIBCAS_WM_7,Viburnum cassinoides,
VIBCAS_WM_9AA,Viburnum cassinoides,
VIBCAS_WM_9AB,Viburnum cassinoides,
VIBCAS_WM_9BA,Viburnum cassinoides,
VIBCAS_WM_9BB,Viburnum cassinoides,
